id,label,purpose,relevant_files,locked,current_work,criteria
A2822,Gate 1: stock modelability,Lock the stock-modelability selection gate,children/intraday_equities/pipeline_runs/p12-63-asset-modelability-staged-2026-02-28-2d203f5c/stages/gate1.json; children/intraday_equities/configs/program-calendar.json; docs/decisioning/framework.md,Y,,empirical
A2850,Gate 2: HFDR in MIO,Replace the retired Bonferroni screen with an MIO constraint on false-signal gross capital,docs/architecture/decision-log.md#ADR-0088; docs/decisioning/framework.md,Y,,judgemental
A2851,~~Gate 3: shuffle refit~~,Audit Gate-1 selections against a session-scramble refit null,docs/research/gate3-lower-compute-null-design.md; docs/architecture/decision-log.md#ADR-0089,N,Investigating a faster valid shuffle-training solution,empirical
A2887,Gate 3: fail-fast scramble refit,"Audit every Gate-1 passer against whole-session scramble refits, stopping at the first null that matches or beats the real result",docs/architecture/decision-log.md#ADR-0092; docs/architecture/decision-log.md#ADR-0093; docs/architecture/decision-log.md#ADR-0094; children/intraday_equities/docs/memos/p12-gate3-recovery-results.md; children/intraday_equities/pipeline_runs/p12-g3-recovery-staged-2026-02-28-a1f293a2/stages/gate3_recovery.json; children/intraday_equities/configs/program-calendar.json,Y,,empirical
A18039,Per-signal pi estimator,Estimate calibrated posterior false-signal probability from out-of-fold and Gate-3 null evidence,docs/research/hfdr-mio-uncertainty/2026-09-05-local-fdr-pi.md; docs/architecture/decision-log.md#ADR-0088,N,,empirical
A18040,Conservative pi HFDR,Bound false-signal gross capital with conservative pi inside the MIO,docs/research/hfdr-mio-uncertainty/2026-09-05-conservative-pi-hfdr.md; docs/architecture/decision-log.md#ADR-0088,N,,judgemental
A18041,Mean-alpha confidence intervals,Estimate uncertainty in net conditional mean alpha under temporal dependence,docs/research/hfdr-mio-uncertainty/2026-09-05-mean-alpha-intervals.md; docs/architecture/decision-log.md#ADR-0088,N,,empirical
A18042,Realized-return uncertainty,Calibrate dependent predictive intervals and joint return scenarios separately from mean alpha,docs/research/hfdr-mio-uncertainty/2026-09-05-dependent-return-calibration.md; docs/architecture/decision-log.md#ADR-0088,N,,empirical
A18044,Joint U_pi set,Represent joint uncertainty in false-signal probabilities for robust HFDR constraints,docs/research/hfdr-mio-uncertainty/2026-09-05-u-pi.md; docs/architecture/decision-log.md#ADR-0088,N,,judgemental
A18046,Joint U_mu set,Represent joint uncertainty in expected net alpha for conservative optimization,docs/research/hfdr-mio-uncertainty/2026-09-05-u-mu.md; docs/architecture/decision-log.md#ADR-0088,N,,judgemental
A18047,Joint U_r scenarios,Represent dependent joint net-return outcomes for CVaR drawdown and Kelly risk,docs/research/hfdr-mio-uncertainty/2026-09-05-u-r.md; docs/architecture/decision-log.md#ADR-0088,N,,empirical
A18256,Final model MIO bundle,Require every promoted final model to publish the complete versioned fail-closed MIO forecast bundle before capital eligibility,docs/research/hfdr-mio-uncertainty/2026-09-05-final-mio-forecast-bundle.md; configs/run-p13-model-zoo.json; docs/architecture/decision-log.md#ADR-0088,Y,,judgemental
A18623,Predictive program calendar,"Lock one temporal source of truth for modelability, model-zoo selection, finalist HPO/refit, uncertainty calibration, simulation, and production",children/intraday_equities/configs/program-calendar.json; children/intraday_equities/docs/research/predictive-program-calendar/2026-09-05-synthesis.md; docs/architecture/decision-log.md#ADR-0098,Y,,empirical
A12635,Official model zoo protocol,Compare 13 individualized model families over all 25 Gate-3-approved asset-horizon pairs on one reviewed paired outer-fold protocol,children/intraday_equities/configs/run-p13-model-zoo.json; children/intraday_equities/configs/program-calendar.json; children/intraday_equities/docs/research/post-gate3-predictor-output/2026-09-05-synthesis.md; children/intraday_equities/docs/research/predictive-program-calendar/2026-09-05-synthesis.md; docs/architecture/decision-log.md#ADR-0097; docs/architecture/decision-log.md#ADR-0098; docs/architecture/decision-log.md#ADR-0099,Y,,empirical
